sweep,epoch,selection_metric,n_runs,pearson_linear_probe,spearman_linear_probe,pearson_knn_probe,spearman_knn_probe,pearson_cifar10c,spearman_cifar10c
simclr-tau,172,rerankme,7,0.7782,0.3929,0.7657,0.4286,0.6098,0.5714
simclr-tau,173,rankme,7,-0.8648,-1.0,-0.8893,-0.9643,-0.8693,-0.8929
simclr-tau,173,rerankme,7,0.7906,0.3929,0.7778,0.4286,0.6227,0.5714
simclr-tau,175,rankme,7,-0.8662,-1.0,-0.8907,-0.9643,-0.8656,-0.8929
simclr-tau,175,rerankme,7,0.781,0.3929,0.7682,0.4286,0.6187,0.5714
simclr-tau,176,rankme,7,-0.8561,-1.0,-0.8811,-0.9643,-0.8633,-0.8929
simclr-tau,176,rerankme,7,0.7815,0.3929,0.7685,0.4286,0.6205,0.5714
simclr-tau,177,rankme,7,-0.8586,-1.0,-0.8862,-0.9643,-0.8606,-0.8929
simclr-tau,177,rerankme,7,0.7908,0.3929,0.7797,0.4286,0.6244,0.5714
simclr-tau,178,rankme,7,-0.8655,-1.0,-0.8909,-0.9643,-0.8711,-0.8929
simclr-tau,178,rerankme,7,0.791,0.3929,0.7781,0.4286,0.6323,0.5714
simclr-tau,179,rankme,7,-0.8755,-1.0,-0.9001,-0.9643,-0.8792,-0.8929
simclr-tau,179,rerankme,7,0.7912,0.3929,0.7769,0.4286,0.6266,0.5714
simclr-tau,182,rankme,7,-0.846,-1.0,-0.8727,-0.9643,-0.8562,-0.8929
simclr-tau,182,rerankme,7,0.7833,0.3929,0.771,0.4286,0.6174,0.5714
simclr-tau,183,rankme,7,-0.8558,-1.0,-0.8812,-0.9643,-0.8663,-0.8929
simclr-tau,183,rerankme,7,0.7784,0.3929,0.765,0.4286,0.6101,0.5714
simclr-tau,184,rankme,7,-0.8649,-1.0,-0.8881,-0.9643,-0.8701,-0.8929
simclr-tau,184,rerankme,7,0.7879,0.3929,0.7738,0.4286,0.6171,0.5714
simclr-tau,187,rankme,7,-0.8529,-1.0,-0.879,-0.9643,-0.858,-0.8929
simclr-tau,187,rerankme,7,0.7802,0.3929,0.7678,0.4286,0.6127,0.5714
simclr-tau,189,rankme,7,-0.8593,-1.0,-0.8855,-0.9643,-0.8648,-0.8929
simclr-tau,189,rerankme,7,0.7687,0.3929,0.7547,0.4286,0.6033,0.5714
simclr-tau,190,rankme,7,-0.8628,-1.0,-0.8881,-0.9643,-0.8661,-0.8929
simclr-tau,190,rerankme,7,0.7685,0.3929,0.7556,0.4286,0.6024,0.5714
simclr-tau,191,rankme,7,-0.8456,-1.0,-0.8725,-0.9643,-0.859,-0.8929
simclr-tau,191,rerankme,7,0.7806,0.3929,0.7662,0.4286,0.6125,0.5714
simclr-tau,192,rankme,7,-0.8516,-1.0,-0.8771,-0.9643,-0.8614,-0.8929
simclr-tau,192,rerankme,7,0.7712,0.3929,0.7578,0.4286,0.6088,0.5714
simclr-tau,193,rankme,7,-0.8551,-1.0,-0.8808,-0.9643,-0.8683,-0.8929
simclr-tau,193,rerankme,7,0.774,0.3929,0.7613,0.4286,0.6106,0.5714
simclr-tau,195,rankme,7,-0.8521,-1.0,-0.8775,-0.9643,-0.8641,-0.8929
simclr-tau,195,rerankme,7,0.7795,0.3929,0.7667,0.4286,0.6157,0.5714
simclr-tau,197,rankme,7,-0.8511,-1.0,-0.8755,-0.9643,-0.8557,-0.8929
simclr-tau,197,rerankme,7,0.7804,0.3929,0.768,0.4286,0.6211,0.5714
simclr-tau,198,rankme,7,-0.8541,-1.0,-0.8785,-0.9643,-0.8628,-0.8929
simclr-tau,198,rerankme,7,0.7859,0.3929,0.772,0.4286,0.6184,0.5714
